1,KA301,ICN,CJU,2020-04-01 9:00,2020-04-01 10:15,1,5,F,150000
2,KA301,ICN,CJU,2020-04-01 9:00,2020-04-01 10:15,1,10,B,100000
3,KA301,ICN,CJU,2020-04-01 9:00,2020-04-01 10:15,1,30,E,75000
4,KA311,ICN,CJU,2020-04-01 10:00,2020-04-01 11:15,1,5,F,300000
5,KA311,ICN,CJU,2020-04-01 10:00,2020-04-01 11:15,1,10,B,200000
6,KA311,ICN,CJU,2020-04-01 10:00,2020-04-01 11:15,1,30,E,150000
7,KA321,ICN,CJU,2020-04-01 11:00,2020-04-01 12:15,1,5,F,300000
8,KA321,ICN,CJU,2020-04-01 11:00,2020-04-01 12:15,1,10,B,200000
9,KA321,ICN,CJU,2020-04-01 11:00,2020-04-01 12:15,1,30,E,150000
10,KA302,CJU,ICN,2020-04-03 9:30,2020-04-03 10:45,1,5,F,300000
11,KA302,CJU,ICN,2020-04-03 9:30,2020-04-03 10:45,1,10,B,200000
12,KA302,CJU,ICN,2020-04-03 9:30,2020-04-03 10:45,1,30,E,150000
13,KA312,CJU,ICN,2020-04-05 10:30,2020-04-05 11:45,1,5,F,300000
14,KA312,CJU,ICN,2020-04-05 10:30,2020-04-05 11:45,1,10,B,200000
15,KA312,CJU,ICN,2020-04-05 10:30,2020-04-05 11:45,1,30,E,150000
16,KA322,CJU,ICN,2020-04-07 11:30,2020-04-07 12:45,1,5,F,300000
17,KA322,CJU,ICN,2020-04-07 11:30,2020-04-07 12:45,1,10,B,200000
18,KA322,CJU,ICN,2020-04-07 11:30,2020-04-07 12:45,1,30,E,150000
19,AC201,ICN,PEK,2020-04-01 12:00,2020-04-01 13:15,0,5,F,300000
20,AC201,ICN,PEK,2020-04-01 12:00,2020-04-01 13:15,0,10,B,200000
21,AC201,ICN,PEK,2020-04-01 12:00,2020-04-01 13:15,0,30,E,150000
22,AC211,ICN,PEK,2020-04-01 13:00,2020-04-01 14:15,0,5,F,300000
23,AC211,ICN,PEK,2020-04-01 13:00,2020-04-01 14:15,0,10,B,200000
24,AC211,ICN,PEK,2020-04-01 13:00,2020-04-01 14:15,0,30,E,150000
25,AC221,ICN,PEK,2020-04-01 14:00,2020-04-01 15:15,0,5,F,300000
26,AC221,ICN,PEK,2020-04-01 14:00,2020-04-01 15:15,0,10,B,200000
27,AC221,ICN,PEK,2020-04-01 14:00,2020-04-01 15:15,0,30,E,150000
28,AC202,PEK,ICN,2020-04-03 12:30,2020-04-03 13:45,0,5,F,300000
29,AC202,PEK,ICN,2020-04-03 12:30,2020-04-03 13:45,0,10,B,200000
30,AC202,PEK,ICN,2020-04-03 12:30,2020-04-03 13:45,0,30,E,150000
31,AC212,PEK,ICN,2020-04-05 13:30,2020-04-05 14:45,0,5,F,300000
32,AC212,PEK,ICN,2020-04-05 13:30,2020-04-05 14:45,0,10,B,200000
33,AC212,PEK,ICN,2020-04-05 13:30,2020-04-05 14:45,0,30,E,150000
34,AC222,PEK,ICN,2020-04-07 14:30,2020-04-07 15:45,0,5,F,300000
35,AC222,PEK,ICN,2020-04-07 14:30,2020-04-07 15:45,0,10,B,200000
36,AC222,PEK,ICN,2020-04-07 14:30,2020-04-07 15:45,0,30,E,150000
37,JA101,ICN,NRT,2020-04-01 15:00,2020-04-01 16:15,0,5,F,300000
38,JA101,ICN,NRT,2020-04-01 15:00,2020-04-01 16:15,0,10,B,200000
39,JA101,ICN,NRT,2020-04-01 15:00,2020-04-01 16:15,0,30,E,150000
40,JA111,ICN,NRT,2020-04-01 16:00,2020-04-01 17:15,0,5,F,300000
41,JA111,ICN,NRT,2020-04-01 16:00,2020-04-01 17:15,0,10,B,200000
42,JA111,ICN,NRT,2020-04-01 16:00,2020-04-01 17:15,0,30,E,150000
43,JA121,ICN,NRT,2020-04-01 17:00,2020-04-01 18:15,0,5,F,300000
44,JA121,ICN,NRT,2020-04-01 17:00,2020-04-01 18:15,0,10,B,200000
45,JA121,ICN,NRT,2020-04-01 17:00,2020-04-01 18:15,0,30,E,150000
46,JA102,NRT,ICN,2020-04-03 15:30,2020-04-03 16:45,0,5,F,300000
47,JA102,NRT,ICN,2020-04-03 15:30,2020-04-03 16:45,0,10,B,200000
48,JA102,NRT,ICN,2020-04-03 15:30,2020-04-03 16:45,0,30,E,150000
49,JA112,NRT,ICN,2020-04-05 16:30,2020-04-05 17:45,0,5,F,300000
50,JA112,NRT,ICN,2020-04-05 16:30,2020-04-05 17:45,0,10,B,200000
51,JA112,NRT,ICN,2020-04-05 16:30,2020-04-05 17:45,0,30,E,150000
52,JA122,NRT,ICN,2020-04-07 17:30,2020-04-07 18:45,0,5,F,300000
53,JA122,NRT,ICN,2020-04-07 17:30,2020-04-07 18:45,0,10,B,200000
54,JA122,NRT,ICN,2020-04-07 17:30,2020-04-07 18:45,0,30,E,150000
55,KA301,ICN,CJU,2020-04-02 9:00,2020-04-02 10:15,1,5,F,300000
56,KA301,ICN,CJU,2020-04-02 9:00,2020-04-02 10:15,1,10,B,200000
57,KA301,ICN,CJU,2020-04-02 9:00,2020-04-02 10:15,1,30,E,150000
