1,L,025허0001,2020-04-01,2020-04-03,제주공항,제주공항,100000,4,0,1,
2,S,025허0002,2020-04-01,2020-04-03,제주공항,제주공항,120000,4,0,1,
3,U,025허0003,2020-04-01,2020-04-03,제주공항,제주공항,170000,6,0,1,
4,V,025허0004,2020-04-01,2020-04-03,제주공항,제주공항,200000,10,0,1,
5,B,025허0005,2020-04-01,2020-04-03,제주공항,제주공항,500000,30,0,1,
6,L,025허0006,2020-04-02,2020-04-04,제주공항,제주공항,90000,4,0,1,
7,S,025허0007,2020-04-02,2020-04-04,제주공항,제주공항,120000,4,0,1,
8,U,025허0007,2020-04-02,2020-04-04,제주공항,제주공항,150000,6,0,1,
9,V,025허0009,2020-04-02,2020-04-04,제주공항,제주공항,200000,10,0,1,
10,B,025허0010,2020-04-02,2020-04-04,제주공항,제주공항,500000,30,0,1,
11,L,025허0011,2020-04-03,2020-04-05,제주공항,제주공항,90000,4,0,1,
12,S,025허0012,2020-04-03,2020-04-05,제주공항,제주공항,120000,4,0,1,
13,U,025허0013,2020-04-03,2020-04-05,제주공항,제주공항,150000,6,0,1,
14,V,025허0014,2020-04-03,2020-04-05,제주공항,제주공항,200000,10,0,1,
15,B,025허0015,2020-04-03,2020-04-05,제주공항,제주공항,500000,30,0,1,
16,L,025허0001,2020-04-04,2020-04-06,제주공항,제주공항,100000,4,0,1,
17,S,025허0002,2020-04-04,2020-04-06,제주공항,제주공항,120000,4,0,1,
18,U,025허0003,2020-04-04,2020-04-06,제주공항,제주공항,170000,6,0,1,
19,V,025허0004,2020-04-04,2020-04-06,제주공항,제주공항,200000,10,0,1,
20,B,025허0005,2020-04-04,2020-04-06,제주공항,제주공항,500000,30,0,1,
21,L,025허0006,2020-04-05,2020-04-07,제주공항,제주공항,100000,4,0,1,
22,S,025허0007,2020-04-05,2020-04-07,제주공항,제주공항,120000,4,0,1,
23,U,025허0008,2020-04-05,2020-04-07,제주공항,제주공항,170000,6,0,1,
24,V,025허0009,2020-04-05,2020-04-07,제주공항,제주공항,200000,10,0,1,
25,B,025허0010,2020-04-05,2020-04-07,제주공항,제주공항,500000,30,0,1,
26,L,025허0011,2020-04-06,2020-04-08,제주공항,제주공항,90000,4,0,1,
27,S,025허0012,2020-04-06,2020-04-08,제주공항,제주공항,120000,4,0,1,
28,U,025허0013,2020-04-06,2020-04-08,제주공항,제주공항,150000,6,0,1,
29,V,025허0014,2020-04-06,2020-04-08,제주공항,제주공항,200000,10,0,1,
30,B,025허0015,2020-04-06,2020-04-08,제주공항,제주공항,500000,30,0,1,
31,L,025허0001,2020-04-07,2020-04-09,제주공항,제주공항,100000,4,0,1,
32,S,025허0002,2020-04-07,2020-04-09,제주공항,제주공항,120000,4,0,1,
33,U,025허0003,2020-04-07,2020-04-09,제주공항,제주공항,170000,6,0,1,
34,V,025허0004,2020-04-07,2020-04-09,제주공항,제주공항,200000,10,0,1,
35,B,025허0005,2020-04-07,2020-04-09,제주공항,제주공항,500000,30,0,1,
36,L,025허0006,2020-04-08,2020-04-10,제주공항,제주공항,90000,4,0,1,
37,S,025허0007,2020-04-08,2020-04-10,제주공항,제주공항,120000,4,0,1,
38,U,025허0008,2020-04-08,2020-04-10,제주공항,제주공항,150000,6,0,1,
39,V,025허0009,2020-04-08,2020-04-10,제주공항,제주공항,200000,10,0,1,
40,B,025허0010,2020-04-08,2020-04-10,제주공항,제주공항,500000,30,0,1,
41,L,025허0011,2020-04-09,2020-04-11,제주공항,제주공항,90000,4,0,1,
42,S,025허0012,2020-04-09,2020-04-11,제주공항,제주공항,120000,4,0,1,
43,U,025허0013,2020-04-09,2020-04-11,제주공항,제주공항,150000,6,0,1,
44,V,025허0014,2020-04-09,2020-04-11,제주공항,제주공항,200000,10,0,1,
45,B,025허0015,2020-04-09,2020-04-11,제주공항,제주공항,500000,30,0,1,
46,L,025허0001,2020-04-10,2020-04-12,제주공항,제주공항,90000,4,0,1,
47,S,025허0002,2020-04-10,2020-04-12,제주공항,제주공항,120000,4,0,1,
48,U,025허0003,2020-04-10,2020-04-12,제주공항,제주공항,150000,6,0,1,
49,V,025허0004,2020-04-10,2020-04-12,제주공항,제주공항,200000,10,0,1,
50,B,025허0005,2020-04-10,2020-04-12,제주공항,제주공항,500000,30,0,1,
51,L,025허0006,2020-04-11,2020-04-13,제주공항,제주공항,100000,4,0,1,
52,S,025허0007,2020-04-11,2020-04-13,제주공항,제주공항,120000,4,0,1,
53,U,025허0008,2020-04-11,2020-04-13,제주공항,제주공항,170000,6,0,1,
54,V,025허0009,2020-04-11,2020-04-13,제주공항,제주공항,200000,10,0,1,
55,B,025허0010,2020-04-11,2020-04-13,제주공항,제주공항,500000,30,0,1,
56,L,025허0011,2020-04-12,2020-04-14,제주공항,제주공항,100000,4,0,1,
57,S,025허0012,2020-04-12,2020-04-14,제주공항,제주공항,120000,4,0,1,
58,U,025허0013,2020-04-12,2020-04-14,제주공항,제주공항,170000,6,0,1,
59,V,025허0014,2020-04-12,2020-04-14,제주공항,제주공항,200000,10,0,1,
60,B,025허0015,2020-04-12,2020-04-14,제주공항,제주공항,500000,30,0,1,
61,L,025허0001,2020-04-13,2020-04-15,제주공항,제주공항,90000,4,0,1,
62,S,025허0002,2020-04-13,2020-04-15,제주공항,제주공항,120000,4,0,1,
63,U,025허0003,2020-04-13,2020-04-15,제주공항,제주공항,150000,6,0,1,
64,V,025허0004,2020-04-13,2020-04-15,제주공항,제주공항,200000,10,0,1,
65,B,025허0005,2020-04-13,2020-04-15,제주공항,제주공항,500000,30,0,1,
66,L,025허0006,2020-04-14,2020-04-16,제주공항,제주공항,90000,4,0,1,
67,S,025허0007,2020-04-14,2020-04-16,제주공항,제주공항,120000,4,0,1,
68,U,025허0008,2020-04-14,2020-04-16,제주공항,제주공항,150000,6,0,1,
69,V,025허0009,2020-04-14,2020-04-16,제주공항,제주공항,200000,10,0,1,
70,B,025허0010,2020-04-14,2020-04-16,제주공항,제주공항,500000,30,0,1,
71,L,025허0011,2020-04-15,2020-04-17,제주공항,제주공항,90000,4,0,1,
72,S,025허0012,2020-04-15,2020-04-17,제주공항,제주공항,120000,4,0,1,
73,U,025허0013,2020-04-15,2020-04-17,제주공항,제주공항,150000,6,0,1,
74,V,025허0014,2020-04-15,2020-04-17,제주공항,제주공항,200000,10,0,1,
75,B,025허0015,2020-04-15,2020-04-17,제주공항,제주공항,500000,30,0,1,
76,L,025허0001,2020-04-16,2020-04-18,제주공항,제주공항,90000,4,0,1,
77,S,025허0002,2020-04-16,2020-04-18,제주공항,제주공항,120000,4,0,1,
78,U,025허0003,2020-04-16,2020-04-18,제주공항,제주공항,150000,6,0,1,
79,V,025허0004,2020-04-16,2020-04-18,제주공항,제주공항,200000,10,0,1,
80,B,025허0005,2020-04-16,2020-04-18,제주공항,제주공항,500000,30,0,1,
81,L,025허0006,2020-04-17,2020-04-19,제주공항,제주공항,90000,4,0,1,
82,S,025허0007,2020-04-17,2020-04-19,제주공항,제주공항,120000,4,0,1,
83,U,025허0008,2020-04-17,2020-04-19,제주공항,제주공항,150000,6,0,1,
84,V,025허0009,2020-04-17,2020-04-19,제주공항,제주공항,200000,10,0,1,
85,B,025허0010,2020-04-17,2020-04-19,제주공항,제주공항,500000,30,0,1,
